userName,score,at,content
Fandi Wahyu,1,2026-07-04 08:11:07,harga ongkir shopeefood belum semenit langsung berubah-ubah
Dika Doni,1,2026-07-04 08:08:57,"banyak ikan yang tidak bermanfaat, bersifat memaksa"
Ilham Suti,5,2026-07-04 08:07:42,paket aman sampai tuyuan
Abunk Podcast,5,2026-07-04 08:07:05,mantappppppppp
Aurel Dewi Septia,1,2026-07-04 08:06:03,iklan nya ganggu
skripsi ai,1,2026-07-04 08:05:31,"aplikasi belanja, yg didalamnya banyak oknum penipu hati-hati ya"
Miftahul Muflih,5,2026-07-04 08:02:31,"sangat dibutuhka , real semua barang nya"
Emanuella Yordania Panjaitan,5,2026-07-04 08:02:14,Sangat solutif
Eddie Agust,5,2026-07-04 08:02:10,"apk bagus tapi ada beberapa pihak pengiriman nya yg lemot.... merusak nama apk saja... saya kasih bintang 2 sementara, sampai benar benar dari pihak pengiriman nya di perbaiki di seleksi menjadi benar benar bagus cepat dan barang aman sampai tujuan tanpa cacat."
Eka Septiyanti,5,2026-07-04 08:02:07,mudah
candra haha,1,2026-07-04 08:01:35,"bnyak peraturan,ngirim vidio aj harus dbwah 60mb"
Zakiatus Sam,1,2026-07-04 08:00:30,banyak iklan fi berbagai aplikasi
Denfit,1,2026-07-04 07:58:43,kenapa saya tidak bisa membuka spaylater dan tidak bisa cekout saat belanja..padahal saya selalu lancar pembayaran..gimnh saya mau belanja lagi
Lintang Bakso,5,2026-07-04 07:55:41,Sampai saat ini sy merasa puas dg layanan shopee
iblis band,2,2026-07-04 07:55:01,perbaiki pengiriman nya
Muhammad abdul Gani,5,2026-07-04 07:52:09,"Alhamdulillah semenjak pakai shopee dan belanja dishopee semua bisnis saya lancar selernya amanah semua dan mudah belanjan online bagi yg sibuk ,,banyak promo ,,diskon ,,bonus ,,bebas ongkir ,,pokoknya masih banyak deeeeh....yg lainnya shopee emang keren abis 😇🙏😍"
Moh Bakri,5,2026-07-04 07:51:18,sangat membantu aplikasi ini
Kono Irlan,5,2026-07-04 07:47:26,terbaik shopee
Komai Kon,1,2026-07-04 07:47:22,"makin ngaco nih shopee, masa sekarang soal pengiriman paling lambat, pesanan selalu stuck, pengiriman melebihi batas waktu."
Skyve Outfit,1,2026-07-04 07:47:04,"gaada bedanya dengan lintah darat, potongan biaya terlalu tinggi"
Dk Pk,1,2026-07-04 07:45:33,pengirimannya lama
Erick Hendrikus.H,5,2026-07-04 07:44:40,good terbaik
Bj Buluk,1,2026-07-04 07:39:38,iklannya maksa banget ganggu mana gabisa di skip trus tanda x nya kacil banget
Supardi Jaya,5,2026-07-04 07:39:31,"Belanja semakin mudah, hanya dgn menggerakkan jari, tanpa keluar rumah, dan dimanapun kita berada. Barang dijamin oleh Shopee. Terimakasih Shopee. Semoga semakin Maju dan Berkembang."
Wandi Wd,5,2026-07-04 07:39:19,shopy ok banget bosss
My Father,5,2026-07-04 07:36:48,Shopee yth. APP Anda sangat memuaskan...semoga masih banyak lagi kejutan diskon belanja.
Dearr Fals,5,2026-07-04 07:36:34,"udah langganan belanja online dari dulu, jos jis"
Pengguna Google,5,2026-07-04 07:36:03,Lama nyampenya
Johan Elboura,5,2026-07-04 07:35:27,tempat berbelanja lengakap dan ongkir murah
Maya Chan,1,2026-07-04 07:35:22,iklan shope dimana mana ganggu bgt
Putri Mahkota,4,2026-07-04 07:33:11,membantu berbisnis
Nurul Ain Syafawani,5,2026-07-04 07:32:16,mempermudah jiwa yg mager sekaligus bisa juga untuk mempermudah layanan lainnya tanpa keluar rumah
